x,y
1.981930748,8.554740519
0.084235379,4.008477156
0.335769906,4.920004201
0.442450072,4.861316881
0.093779623,4.0233553
0.429742435,5.109214896
1.183135103,6.374403312
0.266459956,5.516451848
0.125109663,3.549294397
0.051491254,3.928993365
0.330997812,5.333065449
0.708699109,4.651348803
0.729178702,5.758397848
1.280980328,7.46083947
0.68723157,5.489117963
0.96476416,5.128239101
1.048040093,5.031606242
0.077327826,3.240117097
0.97439287,6.166655824
0.892279004,6.288858748
1.006645516,5.968997623
0.431291455,3.846265197
0.180377559,4.368705369
1.646249488,7.709298387
0.702809631,5.808385543
1.188318609,6.271894039
0.038875506,3.976025572
1.832390317,7.441396125
0.070584206,3.209906934
0.694562272,4.586392685
1.784868755,7.85922455
0.009158238,3.472695679
1.197936975,6.303571286
0.656309581,4.685250179
1.045753061,6.186112448
0.593058204,5.354826699
0.71528155,5.487207177
0.722887181,4.626196951
0.001894064,4.29010199
0.867960175,5.531371135
0.074319515,4.266549508
2.547997076,10.03931218
0.444277688,5.460703451
0.116410937,4.381109194
0.324802173,4.802219811
0.898215544,5.178079917
0.793078396,6.043112103
1.599304074,6.813272794
1.060002019,6.434760644
0.411952291,4.034747639
0.59154916,5.257104459
0.83846078,6.486223061
2.021612733,8.846648162
0.113533114,3.966892161
1.509316294,6.661266775
0.98388447,5.546628044
0.077691769,5.485929765
3.432931868,11.02239813
0.498046793,4.721706793
0.110176488,4.013545071
0.06810063,3.916914866
0.394406335,4.885109921
0.035670577,4.403621232
0.284034534,4.28958068
0.185569138,4.699183141
0.532633298,5.206265884
1.518394092,7.15093712
0.545066637,4.079390703
0.499913935,4.680086149
1.137459523,7.702702867
0.047342285,3.932881721
3.385360943,10.96231737
1.208849254,6.18088179
1.491289056,6.44733992
0.850683014,5.519682397
2.810758941,9.13944404
0.500535972,4.873413516
1.32036624,6.431275836
4.322054466,12.9336808
0.32976052,3.603746226
0.266289934,3.873616633
0.475768607,5.625288422
0.473482814,5.582777902
0.23476068,5.142073919
1.542906158,7.421378381
4.345341302,12.51718468
0.641809638,5.636257663
1.19454853,6.348869344
0.988151868,6.499534618
0.10446673,3.724456318
0.574241145,5.197513222
1.037028293,6.674348738
0.249293577,5.195245843
1.189840556,6.006328353
0.390145126,4.291529136
0.474631634,5.175484061
1.540307789,6.943207163
0.264139646,4.549422482
0.624198377,5.46476804
2.146206977,8.155897035
